name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Minneapolis, MN",12/14/2021,5.1,-3.2,2.3,1.7,-5.5,-1.5,-2.4,71.7,0,0,0,"rain,snow",0.5,5.8,58.3,31.3,126.4,1019.2,35.2,15.9,53.4,4.5,3,,2021-12-14T07:43:59,2021-12-14T16:31:52,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/15/2021,14.3,4.5,8.8,14.3,1,7.1,7.1,89.8,7.763,100,12.5,rain,0,3,54.2,30.1,147.2,997.3,81.9,7.9,36.8,3.3,2,,2021-12-15T07:44:44,2021-12-15T16:32:06,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/16/2021,8.3,-9,-4.7,4.3,-17.1,-12.5,-9.6,69,0.856,100,8.33,rain,0,0.3,87.2,47.5,269.9,1006.8,63.1,13.5,55.9,4.8,4,,2021-12-16T07:45:26,2021-12-16T16:32:23,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HPN07,F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/17/2021,-6.9,-11.4,-8.7,-11.6,-17.1,-14.2,-14.5,62.8,0,0,0,snow,0.8,0.4,33.5,17.8,32.6,1025.3,72.3,16,45.3,3.8,3,,2021-12-17T07:46:07,2021-12-17T16:32:42,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/18/2021,-5.8,-12.6,-8.5,-11.2,-16.3,-13.2,-12.1,75.4,1.295,100,20.83,snow,0.5,1.2,33.5,17,334.9,1027.2,62.1,12.7,43.5,3.6,3,,2021-12-18T07:46:45,2021-12-18T16:33:03,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/19/2021,-0.7,-14,-6.9,-5.5,-19.4,-12,-10.9,73.9,0,0,0,,0,1.2,51.3,25.9,175.7,1021.3,63.8,15.7,35,3.1,2,,2021-12-19T07:47:21,2021-12-19T16:33:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/20/2021,-1.8,-11.4,-6.4,-5.2,-17.7,-12,-12.2,63.5,0,0,0,,0,1.1,51.8,29.9,301.1,1021.2,26,16,61.4,5.3,3,,2021-12-20T07:47:54,2021-12-20T16:33:54,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/21/2021,-6,-12.8,-9.5,-11,-20.7,-16.1,-14.6,66.5,0.39,100,12.5,snow,0.2,1.2,57.2,29.5,272.4,1014,62.5,14.7,39.6,3.3,2,,2021-12-21T07:48:26,2021-12-21T16:34:23,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"HPN07,F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/22/2021,-3.9,-14.2,-9,-9.1,-18.9,-13.5,-13.3,70.9,0,0,0,snow,0.1,1.3,,17.3,141.2,1015.4,44,16,52.8,4.5,3,,2021-12-22T07:48:54,2021-12-22T16:34:55,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/23/2021,3.5,-4.9,-1.6,1.2,-9.9,-4.6,-7,66.8,0,0,0,,0,1.2,50,14.2,125.1,1005.7,39.2,15.9,75.3,6.5,4,,2021-12-23T07:49:21,2021-12-23T16:35:29,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"HPN07,F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/24/2021,6.5,-2,3.2,5.1,-6.1,-0.3,-0.9,74.4,0,0,0,,0,0.5,54.7,24.8,195.9,997.2,44,14.8,24.7,2.2,1,,2021-12-24T07:49:44,2021-12-24T16:36:06,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/25/2021,-1.8,-7.9,-6,-7.2,-13.4,-11.3,-12.5,60.6,0,0,0,snow,0.2,0.1,31.7,21.9,1.1,1012.1,61.1,16,31.8,2.8,1,,2021-12-25T07:50:06,2021-12-25T16:36:44,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,HPN07,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/26/2021,-0.6,-10.4,-5.5,-6.3,-15.5,-10.2,-9.6,73,2.073,100,16.67,"rain,snow",1.3,0.6,52.7,26.7,75,1016.1,55.7,13.5,24.1,2.1,1,,2021-12-26T07:50:25,2021-12-26T16:37:26,0.75,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow,"F0824,HPN07,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/27/2021,1.4,-14.2,-6.2,-3.8,-21.5,-13.4,-10.1,73.9,0.749,100,20.83,"rain,snow",0.7,1.9,68.9,35.3,242.2,1006.1,64.7,13.2,69.2,5.8,3,,2021-12-27T07:50:41,2021-12-27T16:38:09,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/28/2021,-5.8,-15.6,-9.7,-8.9,-25.1,-15,-13.4,74.6,1.116,100,20.83,snow,0.8,2.3,44.9,24.5,136.8,1007.9,85.4,12.6,13.6,1.1,1,,2021-12-28T07:50:55,2021-12-28T16:38:55,0.83,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/29/2021,-12.7,-21.2,-16.7,-12.7,-29.8,-21.6,-21.5,66.5,0,0,0,snow,0.8,3.4,50,18.3,292.4,1017.6,28.1,16,78.7,6.9,4,,2021-12-29T07:51:06,2021-12-29T16:39:42,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/30/2021,-3.1,-14,-8.2,-6.2,-18.8,-12.7,-11.6,76.4,0.125,100,4.17,snow,0,3.4,31.7,17.3,159.7,1010.4,93,15.1,27.3,2.4,2,,2021-12-30T07:51:14,2021-12-30T16:40:32,0.9,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/31/2021,-6.2,-16.8,-9.9,-6.2,-26.2,-15.6,-13.2,77.1,0,0,0,,0,3.2,40.7,23.8,341.6,1012.2,79.2,10.7,37.6,3.3,2,,2021-12-31T07:51:20,2021-12-31T16:41:24,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/1/2022,-17.5,-23.6,-21.4,-26.7,-34.6,-30.7,-26.9,61.3,0,0,0,,0,3.2,33.5,20.5,327.4,1024.6,25.8,16,58.2,5,3,,2022-01-01T07:51:24,2022-01-01T16:42:18,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/2/2022,-15.7,-25.7,-20.7,-19.8,-31.9,-25.5,-25.5,65.6,0,0,0,,0,3.2,,11.9,224.7,1027.1,8.2,15.8,82.3,7.1,4,,2022-01-02T07:51:25,2022-01-02T16:43:14,0,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/3/2022,-3.5,-16.1,-9.9,-3.7,-23.2,-14.2,-14.7,68.6,0,0,0,,0,3,,13.4,150.9,1020.7,16.4,16,55.1,4.7,4,,2022-01-03T07:51:23,2022-01-03T16:44:12,0.03,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/4/2022,0.1,-9,-3.9,-3,-14.6,-8.6,-7.9,74.2,0,0,0,"rain,snow",0.6,3.1,53.6,27.5,112.3,1004.6,54.7,14.9,38.3,3.4,2,,2022-01-04T07:51:18,2022-01-04T16:45:12,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/5/2022,-5.9,-15.6,-11.2,-13.7,-24.7,-20.3,-15,73.7,1.045,100,33.33,snow,1.9,4.6,56,31.9,317.6,1010.6,99.5,5.9,47.5,4.1,3,,2022-01-05T07:51:11,2022-01-05T16:46:13,0.1,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/6/2022,-16,-22.1,-20.1,-24.9,-33.8,-29.8,-25,65.3,0.29,100,8.33,snow,0.3,5.3,35.3,23.1,312.5,1026.7,61.5,14.7,80.3,7,4,,2022-01-06T07:51:02,2022-01-06T16:47:17,0.13,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/7/2022,-11.3,-26.9,-20.6,-21.7,-34.5,-28.2,-25.5,65.3,0,0,0,,0,4.9,61.3,36.2,160.7,1024.7,38.4,15.3,76.3,6.5,4,,2022-01-07T07:50:49,2022-01-07T16:48:21,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/8/2022,-2.1,-12.4,-6.7,-5.3,-22.6,-14.1,-11.9,66.9,0,0,0,,0,4,61.2,38.3,195,1011.6,53.6,16,36.8,3.1,2,,2022-01-08T07:50:34,2022-01-08T16:49:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/9/2022,-14.7,-20,-16.9,-23.5,-30.4,-26.6,-23.6,56.6,0,0,0,,0,3.6,50.5,29.5,287.4,1032.7,19.9,16,85.8,7.5,4,,2022-01-09T07:50:17,2022-01-09T16:50:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/10/2022,-15.3,-21.8,-18.4,-16.5,-30.9,-25.4,-25.4,54.8,0,0,0,snow,0.8,4,19.4,17,304.6,1037.7,24.8,16,86.5,7.5,4,10,2022-01-10T07:49:57,2022-01-10T16:51:45,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/11/2022,2.9,-15.9,-5.9,-0.9,-23,-11.5,-12,62,0,0,0,,0,4,51.8,21.6,208.1,1018,17.5,16,84,7.2,4,10,2022-01-11T07:49:35,2022-01-11T16:52:56,0.29,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/12/2022,3.9,-1.1,0.8,3.9,-4.2,-0.2,-3.2,74.6,0,0,0,,0,3.6,23,9.2,332.4,1014.8,71.8,15.8,76.7,6.5,4,10,2022-01-12T07:49:09,2022-01-12T16:54:08,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/13/2022,0.6,-2.9,-0.9,-1.1,-7.9,-4.3,-4.2,78.5,0,0,0,"rain,snow",0.3,3.6,33.5,21.5,349.7,1017,88.5,14.1,37.5,3.1,3,10,2022-01-13T07:48:42,2022-01-13T16:55:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/14/2022,-3.1,-11,-7.4,-8.1,-17.8,-14.1,-11.8,71.3,2.825,100,50,snow,2,4.6,50,23.1,60,1025.9,88.8,8.3,20.9,1.9,1,10,2022-01-14T07:48:12,2022-01-14T16:56:36,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/15/2022,-9.1,-18.1,-13.2,-13.3,-22.8,-18.1,-17.6,69.6,0,0,0,snow,0.8,6,38.5,15.6,137.1,1032.4,9.2,16,95,8.2,4,10,2022-01-15T07:47:40,2022-01-15T16:57:51,0.43,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/16/2022,-2.5,-13.2,-7.7,-3.8,-20.5,-12.7,-12.2,70.3,0,0,0,,0,5.8,54.7,20.2,217.7,1013,83.1,15.9,38.8,3.4,2,10,2022-01-16T07:47:05,2022-01-16T16:59:08,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/17/2022,-1,-7.5,-3.6,-1.5,-12.7,-7,-7.9,72.6,0,0,0,,0,5.6,34.6,19.8,267.6,1012.3,93.3,16,36.2,3.2,2,10,2022-01-17T07:46:27,2022-01-17T17:00:26,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"HPN07,F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/18/2022,6,-11,-1.6,2.2,-21.6,-7.2,-6,72.6,0,0,0,,0,5.4,59.8,37.2,239.2,1004.6,55.2,15.6,65.8,5.5,4,10,2022-01-18T07:45:48,2022-01-18T17:01:45,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/19/2022,-12.1,-19.8,-15.7,-21.9,-30.4,-26.3,-21.8,59.4,0,0,0,,0,5.1,59,35.4,309.9,1028.2,16.3,15.8,97.8,8.3,4,10,2022-01-19T07:45:06,2022-01-19T17:03:04,0.56,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/20/2022,-16.3,-24,-20.3,-17,-32.1,-26,-25.4,64.6,0,0,0,,0,5.1,29.9,19.8,293.4,1040.1,1.7,16,100.1,8.7,4,10,2022-01-20T07:44:22,2022-01-20T17:04:25,0.6,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/21/2022,-6.3,-22.4,-15.3,-13.2,-31.8,-23.9,-20.2,67.3,0.723,100,16.67,snow,0.4,4.5,59.5,31.7,174.9,1027.5,40,14.1,88,7.6,4,10,2022-01-21T07:43:35,2022-01-21T17:05:46,0.63,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"F0824,HPN07,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/22/2022,-4.4,-13.5,-10.8,-11.1,-23.9,-18,-15.8,67.1,1.263,100,29.17,snow,1.1,4.9,60.1,35.4,302.1,1021.1,77.9,11.9,76.6,6.6,4,10,2022-01-22T07:42:46,2022-01-22T17:07:08,0.67,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"F0824,HPN07,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/23/2022,-14,-22.2,-17,-17.1,-30,-23.8,-21,71,0.49,100,12.5,snow,2.1,6.8,36,20.4,331.1,1018.3,52.4,14.2,74,6.4,3,10,2022-01-23T07:41:55,2022-01-23T17:08:30,0.7,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/24/2022,-11.8,-19.2,-14.3,-17.8,-29.1,-22.4,-18.9,68.8,0.322,100,12.5,snow,0.1,7.2,38.9,24.1,336.9,1013.5,38.6,14.1,105.1,9,5,10,2022-01-24T07:41:02,2022-01-24T17:09:53,0.74,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,KMSP,72658014922,KMIC"
"Minneapolis, MN",1/25/2022,-16.2,-24.6,-20.7,-25.8,-33.1,-29.9,-25.9,63.6,0,0,0,,0,6.8,34.2,22,302.5,1030.5,0,16,106,9.2,4,10,2022-01-25T07:40:07,2022-01-25T17:11:17,0.75,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/26/2022,-2.6,-26.5,-15.3,-7.4,-36.4,-23.1,-19.8,68.8,0,0,0,snow,0.8,7.1,53.9,27,186.4,1021.9,36.2,15.7,70.4,6.1,4,10,2022-01-26T07:39:10,2022-01-26T17:12:41,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,HPN07,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/27/2022,0.2,-14.5,-4.8,-4.7,-21.2,-11,-11.4,60.7,0.185,100,8.33,"rain,snow",0,7.2,44.3,28.1,324.8,1021.5,64.4,15.9,68.6,5.9,3,10,2022-01-27T07:38:10,2022-01-27T17:14:05,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,F5903,KMIC"
"Minneapolis, MN",1/28/2022,-11.1,-20.8,-15.4,-14.5,-25.2,-19.5,-21.4,61,0,0,0,,0,7,26.3,15.2,254.6,1029.9,38.8,16,86.6,7.5,4,10,2022-01-28T07:37:09,2022-01-28T17:15:30,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,HPN07,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/29/2022,-3.2,-14.8,-9,-8.4,-20.8,-14.3,-14.1,66.9,0,0,0,,0,6.4,39.2,21.6,208.4,1015.8,32.4,16,97.9,8.6,4,10,2022-01-29T07:36:05,2022-01-29T17:16:55,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/30/2022,-5,-10,-7.6,-6.1,-15.7,-12.2,-12.7,67.2,0,0,0,,0,5.2,46.4,20.8,323,1018.6,64.4,15.9,81.1,7,4,10,2022-01-30T07:35:00,2022-01-30T17:18:21,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,D0937,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",1/31/2022,-1.8,-11.1,-6.5,-7.9,-17.7,-12.7,-10.3,74.3,0,0,0,snow,0.8,5.2,59.4,24.1,148.4,1010.7,22.7,14,72.1,6.2,3,10,2022-01-31T07:33:53,2022-01-31T17:19:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",2/1/2022,1.3,-16.1,-7.4,-3.6,-25.2,-15.5,-12.8,65.2,0,0,0,snow,1.4,6.2,63.1,36,274.8,1013.4,49,15.4,90.1,7.9,4,10,2022-02-01T07:32:44,2022-02-01T17:21:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",2/2/2022,-14.5,-19.6,-17.1,-24.4,-28.6,-26.4,-23.2,59.4,0,0,0,,0,6.6,40.7,27.1,322.3,1034.9,22.1,16,115.4,10,5,10,2022-02-02T07:31:33,2022-02-02T17:22:39,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",2/3/2022,-14.6,-23.4,-19.2,-14.6,-30.8,-22.4,-26,55.4,0,0,0,,0,6.6,19.8,13.3,343.7,1039.5,11,16,121.2,10.5,5,10,2022-02-03T07:30:20,2022-02-03T17:24:05,0.08,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
